GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
shareboard_is,service.validation,UniqueUsernameValidator,2,16,1,3,0,4,1,4,0,3
shareboard_is,service.validation,UniqueSectionNameValidator,3,15,2,2,0,4,2,3,0,3
shareboard_is,service.validation,UniqueEmailValidator,2,15,1,3,0,4,1,4,0,3
shareboard_is,service.validation,CommentExistsValidator,2,16,1,3,0,4,1,4,0,3
shareboard_is,service.validation,BanExistsValidator,3,15,2,2,0,4,2,3,0,3
shareboard_is,service.validation,PostExistsValidator,2,16,1,3,0,4,1,4,0,3
shareboard_is,service.validation,ImageValidator,6,22,1,5,2,6,1,5,0,3
shareboard_is,service.validation,UserExistsByNameValidator,2,16,1,3,0,4,1,4,0,3
shareboard_is,service.validation,SectionExistsByNameValidator,2,16,1,3,0,4,1,4,0,3
shareboard_is,service.validation,UsersExistsByIdValidator,2,16,1,3,0,4,1,4,0,3
shareboard_is,service.validation,SectionExistsByIdValidator,2,16,1,3,0,4,1,4,0,3
shareboard_is,http.controller.interceptor,AuthorizationConstraintsInterceptor,3,66,0,14,1,17,1,10,1,3
shareboard_is,http.controller.interceptor,JSONErrorInterceptor,27,100,1,3,7,31,2,7,1,6
shareboard_is,http.controller.interceptor,AuthorizationConstraints.Types,0,34,0,0,0,2,0,1,0,1
shareboard_is,http.controller.interceptor,ForwardOnErrorInterceptor,2,68,0,2,1,20,1,6,1,5
shareboard_is,persistence.repo,CommentRepository,0,33,0,0,0,9,0,3,0,3
shareboard_is,persistence.repo,PostRepository,0,8,0,0,0,2,0,2,0,2
shareboard_is,persistence.repo,PostRepository.SortCriteria,0,34,0,0,0,1,0,1,0,1
shareboard_is,persistence.repo,BinaryContentRepository,3,98,1,3,2,17,1,7,0,6
shareboard_is,persistence.repo,PostRepository.PostFinder,0,306,3,20,0,68,3,25,0,16
shareboard_is,persistence.repo,GenericRepository,0,108,0,4,0,20,0,12,0,10
